questionname,questiontext,A,B,C,D,Answer 1,Answer 2,answernumbering,correctfeedback,partiallycorrectfeedback,incorrectfeedback,defaultmark
4A 総則,我が国の最高法規はどれか。,法律,命令,条例,憲法,D,,123,日本の最高法規は「憲法」である。法の優先順位は、憲法 > 法律 > 命令（政令・省令） > 条例の順である。「法律」「命令」「条例」はいずれも憲法より下位に位置する。,,日本の最高法規は「憲法」である。法の優先順位は、憲法 > 法律 > 命令（政令・省令） > 条例の順である。「法律」「命令」「条例」はいずれも憲法より下位に位置する。,1.0000000
1C 患者の権利,生存権が規定されているのはどれか。,刑法,民法,憲法,商法,C,,123,生存権は「憲法」第25条に「すべて国民は、健康で文化的な最低限度の生活を営む権利を有する」と規定されている。「刑法」「民法」「商法」には生存権の規定はない。,,生存権は「憲法」第25条に「すべて国民は、健康で文化的な最低限度の生活を営む権利を有する」と規定されている。「刑法」「民法」「商法」には生存権の規定はない。,1.0000000
4A 総則,法の優先順位で正しいのはどれか。,憲法、条例、命令（政令・省令）、法律,憲法、命令（政令・省令）、条例、法律,憲法、法律、条例、命令（政令・省令）,憲法、法律、命令（政令・省令）、条例,D,,123,法の優先順位は「憲法、法律、命令（政令・省令）、条例」の順が正しい。「憲法、条例、命令（政令・省令）、法律」は条例の位置が高すぎて誤りである。「憲法、命令（政令・省令）、条例、法律」は法律の位置が低すぎて誤りである。「憲法、法律、条例、命令（政令・省令）」は条例と命令の順が逆で誤りである。,,法の優先順位は「憲法、法律、命令（政令・省令）、条例」の順が正しい。「憲法、条例、命令（政令・省令）、法律」は条例の位置が高すぎて誤りである。「憲法、命令（政令・省令）、条例、法律」は法律の位置が低すぎて誤りである。「憲法、法律、条例、命令（政令・省令）」は条例と命令の順が逆で誤りである。,1.0000000
1C 患者の権利,クオリティ・オブ・ライフ（QOL）について誤っているのはどれか。,生活の質と訳される。,生命至上主義から導きだされる。,患者の自己決定権の主張と結びつく。,客観的な評価法がある。,B,,123,QOL（Quality of Life）は生活の質と訳される概念である。「生命至上主義から導きだされる」は誤りで、QOLは生命至上主義からではなく、患者の生活全体の質を重視する考え方から導かれるものである。「生活の質と訳される」は正しい。「患者の自己決定権の主張と結びつく」は正しい。「客観的な評価法がある」も正しい。,,QOL（Quality of Life）は生活の質と訳される概念である。「生命至上主義から導きだされる」は誤りで、QOLは生命至上主義からではなく、患者の生活全体の質を重視する考え方から導かれるものである。「生活の質と訳される」は正しい。「患者の自己決定権の主張と結びつく」は正しい。「客観的な評価法がある」も正しい。,1.0000000
5F 医療法,医療法に規定されていないのはどれか。,療養病床を有する診療所,特定機能病院,地域医療支援病院,総合病院,D,,123,医療法に規定されている施設には、病院、診療所、助産所、特定機能病院、地域医療支援病院、臨床研究中核病院などがある。「総合病院」は1997年の医療法改正で廃止された区分であり、現行医療法には規定されていない。「療養病床を有する診療所」「特定機能病院」「地域医療支援病院」はいずれも医療法に規定されている。,,医療法に規定されている施設には、病院、診療所、助産所、特定機能病院、地域医療支援病院、臨床研究中核病院などがある。「総合病院」は1997年の医療法改正で廃止された区分であり、現行医療法には規定されていない。「療養病床を有する診療所」「特定機能病院」「地域医療支援病院」はいずれも医療法に規定されている。,1.0000000
5F 医療法,医療法で定められた施設と内容との組合せで誤っているのはどれか。,診療所-----患者20人以下の収容施設を有する,地域医療支援病院-----救急医療を提供する能力を有する。,医療安全支援センター-----病院､診療所若しくは助産所における医療に関する苦情に対応する,特定機能病院-----高度の医療を提供する能力を有する,A,,123,「診療所 --- 患者20人以下の収容施設を有する」は誤りで、診療所は患者19人以下の収容施設を有するものである。20人以上の患者を収容する施設は病院となる。「地域医療支援病院 --- 救急医療を提供する能力を有する」は正しい。「医療安全支援センター --- 病院、診療所若しくは助産所における医療に関する苦情に対応する」は正しい。「特定機能病院 --- 高度の医療を提供する能力を有する」は正しい。,,「診療所 --- 患者20人以下の収容施設を有する」は誤りで、診療所は患者19人以下の収容施設を有するものである。20人以上の患者を収容する施設は病院となる。「地域医療支援病院 --- 救急医療を提供する能力を有する」は正しい。「医療安全支援センター --- 病院、診療所若しくは助産所における医療に関する苦情に対応する」は正しい。「特定機能病院 --- 高度の医療を提供する能力を有する」は正しい。,1.0000000
5F 医療法,病院の病床で正しい組合せはどれか。,一般病床------------精神・感染症・結核・療養病床以外のものをいう。,感染症病床----------結核患者を入院させる。,精神病床------------高齢者で療養を必要とするものを入院させる。,療養病床------------ニ類感染症で療養を必要とする患者を入院させる。,A,,123,病院の病床は5種類あり、「一般病床 --- 精神・感染症・結核・療養病床以外のものをいう」が正しい。「感染症病床 --- 結核患者を入院させる」は誤りで、感染症病床は感染症患者を入院させるものであり、結核患者は結核病床に入院させる。「精神病床 --- 高齢者で療養を必要とするものを入院させる」は誤りで、精神病床は精神疾患の患者を入院させるものである。「療養病床 --- 二類感染症で療養を必要とする患者を入院させる」は誤りで、療養病床は長期療養を必要とする患者を入院させるものである。,,病院の病床は5種類あり、「一般病床 --- 精神・感染症・結核・療養病床以外のものをいう」が正しい。「感染症病床 --- 結核患者を入院させる」は誤りで、感染症病床は感染症患者を入院させるものであり、結核患者は結核病床に入院させる。「精神病床 --- 高齢者で療養を必要とするものを入院させる」は誤りで、精神病床は精神疾患の患者を入院させるものである。「療養病床 --- 二類感染症で療養を必要とする患者を入院させる」は誤りで、療養病床は長期療養を必要とする患者を入院させるものである。,1.0000000
5F 医療法,医療提供施設の入院患者の収容人数で誤っているのはどれか。,病院----------------20人以上,診療所--------------19人以下,助産所--------------10人以下,地域医療支援病院----200人以上,C,,123,「助産所 --- 10人以下」は誤りで、助産所は妊婦・産婦・じょく婦9人以下の収容施設を有するものである。「病院 --- 20人以上」は正しい。「診療所 --- 19人以下」は正しい。「地域医療支援病院 --- 200人以上」は正しい。,,「助産所 --- 10人以下」は誤りで、助産所は妊婦・産婦・じょく婦9人以下の収容施設を有するものである。「病院 --- 20人以上」は正しい。「診療所 --- 19人以下」は正しい。「地域医療支援病院 --- 200人以上」は正しい。,1.0000000
5F 医療法,厚生労働大臣の承認が必要なのはどれか。,特定機能病院,地域医療支援病院,病院,助産所,A,,123,厚生労働大臣の承認が必要なのは「特定機能病院」である。「地域医療支援病院」は都道府県知事の承認が必要である。「病院」の開設は届出又は許可である。「助産所」の開設は届出である。,,厚生労働大臣の承認が必要なのは「特定機能病院」である。「地域医療支援病院」は都道府県知事の承認が必要である。「病院」の開設は届出又は許可である。「助産所」の開設は届出である。,1.0000000
5F 医療法,医療法で救急医療を提供する能力を有しなければならない医療機関はどれか。,診療所,病院,地域医療支援病院,特定機能病院,C,,123,医療法で救急医療を提供する能力を有しなければならないのは「地域医療支援病院」である。「診療所」「病院」（一般の病院）「特定機能病院」にはこの要件は特段規定されていない。,,医療法で救急医療を提供する能力を有しなければならないのは「地域医療支援病院」である。「診療所」「病院」（一般の病院）「特定機能病院」にはこの要件は特段規定されていない。,1.0000000
5F 医療法,正しい組合せはどれか。2つ選べ。,病　院 - 患者10人以上の収容施設,特定機能病院 - 感染性患者用の医療施設,療養型病床群 - 長期療養者用の病床の一群,施術所 - 6.6平方メートル以上の専用の施術室,C,D,123,「療養型病床群 --- 長期療養者用の病床の一群」と「施術所 --- 6.6平方メートル以上の専用の施術室」が正しい。「病院 --- 患者10人以上の収容施設」は誤りで、病院は患者20人以上の収容施設を有するものである。「特定機能病院 --- 感染性患者用の医療施設」は誤りで、特定機能病院は高度の医療を提供する施設である。,,「療養型病床群 --- 長期療養者用の病床の一群」と「施術所 --- 6.6平方メートル以上の専用の施術室」が正しい。「病院 --- 患者10人以上の収容施設」は誤りで、病院は患者20人以上の収容施設を有するものである。「特定機能病院 --- 感染性患者用の医療施設」は誤りで、特定機能病院は高度の医療を提供する施設である。,1.0000000
5F 医療法,医療法による医療提供理念の内容に入るのはどれか。2つ選べ。,疾病予防,自立補助,ノーマライゼーション,リハビリテーション,A,D,123,医療法の医療提供理念には「疾病予防」と「リハビリテーション」が含まれる。医療法では、疾病の治療のみならず、疾病予防やリハビリテーションを含む良質かつ適切な医療の提供が理念として掲げられている。「自立補助」や「ノーマライゼーション」は福祉の理念であり、医療法の医療提供理念には直接含まれない。,,医療法の医療提供理念には「疾病予防」と「リハビリテーション」が含まれる。医療法では、疾病の治療のみならず、疾病予防やリハビリテーションを含む良質かつ適切な医療の提供が理念として掲げられている。「自立補助」や「ノーマライゼーション」は福祉の理念であり、医療法の医療提供理念には直接含まれない。,1.0000000
5F 医療法,医療行為における患者の同意について正しいのはどれか。2つ選べ。,医療法第1条の4第2項に基づく。,同意書があれば法律上の責任は問われない。,法律上の慣習である。,刑法上の違法性阻却事由にあたる。,C,D,123,「法律上の慣習である」と「刑法上の違法性阻却事由にあたる」が正しい。患者の同意を得る慣行は法律上の慣習として確立しており、また患者の同意は刑法上の違法性阻却事由にあたる。「医療法第1条の4第2項に基づく」はインフォームド・コンセントの規定であり、患者の同意そのものの直接の根拠規定ではない。「同意書があれば法律上の責任は問われない」は誤りで、同意書があっても法的責任が免除されるわけではない。,,「法律上の慣習である」と「刑法上の違法性阻却事由にあたる」が正しい。患者の同意を得る慣行は法律上の慣習として確立しており、また患者の同意は刑法上の違法性阻却事由にあたる。「医療法第1条の4第2項に基づく」はインフォームド・コンセントの規定であり、患者の同意そのものの直接の根拠規定ではない。「同意書があれば法律上の責任は問われない」は誤りで、同意書があっても法的責任が免除されるわけではない。,1.0000000
5F 医療法,病院の定義として規定されている患者収容数で正しいのはどれか。,10人以上,20人以上,30人以上,40人以上,B,,123,病院の定義として規定されている患者収容数は「20人以上」である（医療法第1条の5）。「10人以上」「30人以上」「40人以上」はいずれも誤りである。,,病院の定義として規定されている患者収容数は「20人以上」である（医療法第1条の5）。「10人以上」「30人以上」「40人以上」はいずれも誤りである。,1.0000000
5F 医療法,医療法による医療提供の理念で正しいのはどれか。2つ選べ。,自立支援,ノーマライゼーション,リハビリテーション,疾病予防,C,D,123,医療法の医療提供理念には「リハビリテーション」と「疾病予防」が含まれる。「自立支援」や「ノーマライゼーション」は福祉の理念であり、医療法の医療提供理念には直接含まれない。,,医療法の医療提供理念には「リハビリテーション」と「疾病予防」が含まれる。「自立支援」や「ノーマライゼーション」は福祉の理念であり、医療法の医療提供理念には直接含まれない。,1.0000000
5F 医療法,医療法上の病床でないのはどれか。,精神病床,特養病床,療養病床,感染症病床,B,,123,医療法上の病床は、精神病床・感染症病床・結核病床・療養病床・一般病床の5種類である。「特養病床」は介護保険法における特別養護老人ホームの施設であり、医療法上の病床ではない。「精神病床」「療養病床」「感染症病床」はいずれも医療法上の病床に該当する。,,医療法上の病床は、精神病床・感染症病床・結核病床・療養病床・一般病床の5種類である。「特養病床」は介護保険法における特別養護老人ホームの施設であり、医療法上の病床ではない。「精神病床」「療養病床」「感染症病床」はいずれも医療法上の病床に該当する。,1.0000000
5F 医療法,医療提供施設の承認で正しいのはどれか。,病院　---　市町村長,臨床研究中核病院　---　都道府県知事,特定機能病院　---　厚生労働大臣,地域医療支援病院　---　内閣総理大臣,C,,123,「特定機能病院 --- 厚生労働大臣」の組合せが正しい。「病院 --- 市町村長」は誤りで、病院の開設は都道府県知事への届出又は許可である。「臨床研究中核病院 --- 都道府県知事」は誤りで、臨床研究中核病院は厚生労働大臣の承認が必要である。「地域医療支援病院 --- 内閣総理大臣」は誤りで、地域医療支援病院は都道府県知事の承認が必要である。,,「特定機能病院 --- 厚生労働大臣」の組合せが正しい。「病院 --- 市町村長」は誤りで、病院の開設は都道府県知事への届出又は許可である。「臨床研究中核病院 --- 都道府県知事」は誤りで、臨床研究中核病院は厚生労働大臣の承認が必要である。「地域医療支援病院 --- 内閣総理大臣」は誤りで、地域医療支援病院は都道府県知事の承認が必要である。,1.0000000
5F 医療法,正しいのはどれか。,病院は患者20人以上の収容施設を有する。,診療所には患者の収容施設はない。,特定機能病院は特定の疾患のみを診察する。,総合病院には全ての診療科を置かなければならない。,A,,123,「病院は患者20人以上の収容施設を有する」が正しい（医療法第1条の5）。「診療所には患者の収容施設はない」は誤りで、診療所にも19人以下の入院施設を設けることができる。「特定機能病院は特定の疾患のみを診察する」は誤りで、特定機能病院は高度医療を提供する施設であり特定疾患のみを診るわけではない。「総合病院には全ての診療科を置かなければならない」は誤りで、総合病院は1997年の医療法改正で廃止された概念である。,,「病院は患者20人以上の収容施設を有する」が正しい（医療法第1条の5）。「診療所には患者の収容施設はない」は誤りで、診療所にも19人以下の入院施設を設けることができる。「特定機能病院は特定の疾患のみを診察する」は誤りで、特定機能病院は高度医療を提供する施設であり特定疾患のみを診るわけではない。「総合病院には全ての診療科を置かなければならない」は誤りで、総合病院は1997年の医療法改正で廃止された概念である。,1.0000000
5F 医療法,医療法に規定されていない施設はどれか。,病院,歯科医院,助産所,接骨院,D,,123,医療法に規定されている施設は病院、診療所（歯科医院含む）、助産所である。「接骨院」（施術所）は柔道整復師法に規定されており、医療法には規定されていない。「病院」「歯科医院」「助産所」はいずれも医療法に規定されている。,,医療法に規定されている施設は病院、診療所（歯科医院含む）、助産所である。「接骨院」（施術所）は柔道整復師法に規定されており、医療法には規定されていない。「病院」「歯科医院」「助産所」はいずれも医療法に規定されている。,1.0000000
5F 医療法,正しいのはどれか。,病院は患者10人以上の収容施設を有する。,診療所は患者の収容施設を有しない。,法人は病院を開設することができない。,特定機能病院は高度の医療を提供する。,D,,123,「特定機能病院は高度の医療を提供する」が正しい。「病院は患者10人以上の収容施設を有する」は誤りで、病院は20人以上である。「診療所は患者の収容施設を有しない」は誤りで、診療所も19人以下の入院施設を持つことができる。「法人は病院を開設することができない」は誤りで、法人も病院を開設できる。,,「特定機能病院は高度の医療を提供する」が正しい。「病院は患者10人以上の収容施設を有する」は誤りで、病院は20人以上である。「診療所は患者の収容施設を有しない」は誤りで、診療所も19人以下の入院施設を持つことができる。「法人は病院を開設することができない」は誤りで、法人も病院を開設できる。,1.0000000
5F 医療法,医療法の目的で誤っているのはどれか。,医療保険に関する事項,医療の安全を確保するために必要な事項,医療施設の開設・管理・監督に関する事項,医療に関する適切な選択の支援に関する事項,A,,123,医療法の目的には、医療の安全確保、医療施設の開設・管理・監督、医療に関する適切な選択の支援などが含まれる。「医療保険に関する事項」は健康保険法等で規定されており、医療法の目的には含まれない。「医療の安全を確保するために必要な事項」「医療施設の開設・管理・監督に関する事項」「医療に関する適切な選択の支援に関する事項」はいずれも医療法の目的に含まれる。,,医療法の目的には、医療の安全確保、医療施設の開設・管理・監督、医療に関する適切な選択の支援などが含まれる。「医療保険に関する事項」は健康保険法等で規定されており、医療法の目的には含まれない。「医療の安全を確保するために必要な事項」「医療施設の開設・管理・監督に関する事項」「医療に関する適切な選択の支援に関する事項」はいずれも医療法の目的に含まれる。,1.0000000
5F 医療法,医師法で正しいのはどれか。,無診察治療が可能である。,守秘義務の規定がある。,保健指導の義務がある。,診療録の保存は3年である。,C,,123,「保健指導の義務がある」が正しい。医師法に保健指導の義務が規定されている。「無診察治療が可能である」は誤りで、医師法では無診察治療は禁止されている。「守秘義務の規定がある」は誤りで、医師の守秘義務は刑法第134条に規定されており医師法ではない。「診療録の保存は3年である」は誤りで、診療録の保存期間は5年間である。,,「保健指導の義務がある」が正しい。医師法に保健指導の義務が規定されている。「無診察治療が可能である」は誤りで、医師法では無診察治療は禁止されている。「守秘義務の規定がある」は誤りで、医師の守秘義務は刑法第134条に規定されており医師法ではない。「診療録の保存は3年である」は誤りで、診療録の保存期間は5年間である。,1.0000000
5F 医療法,誤っている組合せはどれか。,診療所 － 患者19人以下の収容施設,助産所 － 妊婦・産婦・じょく婦9人以下の収容施設,地域医療支援病院 － 患者200人以上の収容施設,特定機能病院 － 患者500人未満の収容施設,D,,123,「特定機能病院 --- 患者500人未満の収容施設」は誤りで、特定機能病院は400床以上が必要であり500人未満とは限定されない。「診療所 --- 患者19人以下の収容施設」は正しい。「助産所 --- 妊婦・産婦・じょく婦9人以下の収容施設」は正しい。「地域医療支援病院 --- 患者200人以上の収容施設」は正しい。,,「特定機能病院 --- 患者500人未満の収容施設」は誤りで、特定機能病院は400床以上が必要であり500人未満とは限定されない。「診療所 --- 患者19人以下の収容施設」は正しい。「助産所 --- 妊婦・産婦・じょく婦9人以下の収容施設」は正しい。「地域医療支援病院 --- 患者200人以上の収容施設」は正しい。,1.0000000
5F 医療法,医療法の広告で正しいのはどれか。,違反した場合は罰金に処せられる。,予約制施術を掲示することはできない。,インターネットによる広告は規制される。,地域で一番の施術である旨の広告ができる。,C,,123,「インターネットによる広告は規制される」が正しい。医療法の広告規制はインターネットによる広告にも適用される。「予約制施術を掲示することはできない」は誤りで、予約制を掲示することは可能である。「地域で一番の施術である旨の広告ができる」は誤りで、「地域で一番」等の比較広告は禁止されている。,,「インターネットによる広告は規制される」が正しい。医療法の広告規制はインターネットによる広告にも適用される。「予約制施術を掲示することはできない」は誤りで、予約制を掲示することは可能である。「地域で一番の施術である旨の広告ができる」は誤りで、「地域で一番」等の比較広告は禁止されている。,1.0000000
5F 医療法,医療事故調査制度の調査対象はどれか．,医療契約の履行状態,善管注意義務違反の有無,医療事故を起こした医師の責任,医療に起因する病院等の管理者が予期しなかった死亡または死産,D,,123,医療事故調査制度の調査対象は「医療に起因する病院等の管理者が予期しなかった死亡または死産」である。この制度は原因究明と再発防止を目的としており、「医療契約の履行状態」「善管注意義務違反の有無」「医療事故を起こした医師の責任」の追及を目的とするものではない。,,医療事故調査制度の調査対象は「医療に起因する病院等の管理者が予期しなかった死亡または死産」である。この制度は原因究明と再発防止を目的としており、「医療契約の履行状態」「善管注意義務違反の有無」「医療事故を起こした医師の責任」の追及を目的とするものではない。,1.0000000
5F 医療法,正しいのはどれか。,助産所は妊婦，産婦，じょく婦10人以上の入所施設を有してはならない。,診療所の入院施設は20人以下である。,地域医療支援病院の病床数は原則として100以上である。,特定機能病院の病床数は200以上である。,A,,123,「助産所は妊婦、産婦、じょく婦10人以上の入所施設を有してはならない」が正しい（つまり9人以下）。「診療所の入院施設は20人以下である」は誤りで、診療所は19人以下である。「地域医療支援病院の病床数は原則として100以上である」は誤りで、200床以上が必要である。「特定機能病院の病床数は200以上である」は誤りで、400床以上が必要である。,,「助産所は妊婦、産婦、じょく婦10人以上の入所施設を有してはならない」が正しい（つまり9人以下）。「診療所の入院施設は20人以下である」は誤りで、診療所は19人以下である。「地域医療支援病院の病床数は原則として100以上である」は誤りで、200床以上が必要である。「特定機能病院の病床数は200以上である」は誤りで、400床以上が必要である。,1.0000000
5F 医療法,医療法について正しいのはどれか。,診療所の定義には柔道整復施術所が含まれる。,特定機能病院を称するには厚生労働大臣の承認が必要である。,医療監視員は厚生労働省の職員である。,開設者は診療所か病院の名称を自由に選択できる。,B,,123,「特定機能病院を称するには厚生労働大臣の承認が必要である」が正しい。「診療所の定義には柔道整復施術所が含まれる」は誤りで、施術所は診療所ではない。「医療監視員は厚生労働省の職員である」は誤りで、医療監視員は都道府県知事が任命する職員である。「開設者は診療所か病院の名称を自由に選択できる」は誤りで、名称は収容人数等の基準による。,,「特定機能病院を称するには厚生労働大臣の承認が必要である」が正しい。「診療所の定義には柔道整復施術所が含まれる」は誤りで、施術所は診療所ではない。「医療監視員は厚生労働省の職員である」は誤りで、医療監視員は都道府県知事が任命する職員である。「開設者は診療所か病院の名称を自由に選択できる」は誤りで、名称は収容人数等の基準による。,1.0000000
5F 医療法,医療法において届出のみで開設できるのはどれか。,医師、歯科医師が開設する病院,医師、歯科医師以外が開設する診療所,医師、歯科医師以外が開設する病院,助産師が開設する助産所,D,,123,医療法において届出のみで開設できるのは「助産師が開設する助産所」である。医師・歯科医師が開設する診療所・病院は届出でよいが、「医師、歯科医師が開設する病院」も届出のみで開設できる。一方、医師・歯科医師以外の者が開設する診療所や病院は都道府県知事の許可が必要である。,,医療法において届出のみで開設できるのは「助産師が開設する助産所」である。医師・歯科医師が開設する診療所・病院は届出でよいが、「医師、歯科医師が開設する病院」も届出のみで開設できる。一方、医師・歯科医師以外の者が開設する診療所や病院は都道府県知事の許可が必要である。,1.0000000
5F 医療法,医療法で医療提供施設でないのはどれか．,助産所,調剤薬局,老人福祉施設,介護老人保健施設,D,,123,医療法で定める医療提供施設には、病院、診療所、助産所、調剤を実施する薬局が含まれる。この問題の出題時点では「介護老人保健施設」は医療提供施設に含まれておらず、これが正解である。「助産所」は医療法に規定される医療提供施設である。「調剤薬局」も医療提供施設に含まれる。「老人福祉施設」は老人福祉法に規定される施設であり医療提供施設ではないが、本問の正解は「介護老人保健施設」である。※なお、現行の医療法第1条の2第2項では介護老人保健施設は医療提供施設に列挙されている。出題年度により正解が異なる可能性がある点に注意。,,医療法で定める医療提供施設には、病院、診療所、助産所、調剤を実施する薬局が含まれる。この問題の出題時点では「介護老人保健施設」は医療提供施設に含まれておらず、これが正解である。「助産所」は医療法に規定される医療提供施設である。「調剤薬局」も医療提供施設に含まれる。「老人福祉施設」は老人福祉法に規定される施設であり医療提供施設ではないが、本問の正解は「介護老人保健施設」である。※なお、現行の医療法第1条の2第2項では介護老人保健施設は医療提供施設に列挙されている。出題年度により正解が異なる可能性がある点に注意。,1.0000000
5F 医療法,厚生労働大臣の指定する医療用具で正しいのはどれか。2つ選べ。,人の身体の構造若しくは機能に影響を及ぼすことを目的とする。,業として製造は自由にできる。,柔道整復師は患者の求めがあれば自由に販売できる。,使用の期限が記載されている。,A,D,123,厚生労働大臣の指定する医療用具について、「人の身体の構造若しくは機能に影響を及ぼすことを目的とする」と「使用の期限が記載されている」が正しい。「業として製造は自由にできる」は誤りで、製造には許可が必要である。「柔道整復師は患者の求めがあれば自由に販売できる」は誤りで、販売にも制限がある。,,厚生労働大臣の指定する医療用具について、「人の身体の構造若しくは機能に影響を及ぼすことを目的とする」と「使用の期限が記載されている」が正しい。「業として製造は自由にできる」は誤りで、製造には許可が必要である。「柔道整復師は患者の求めがあれば自由に販売できる」は誤りで、販売にも制限がある。,1.0000000
5F 医療法,適切な医療を行う要件で誤っているのはどれか。,治療が目的となる。,医療水準を満たしている。,緊急の場合、家族の同意が不可欠である。,診療内容に患者の同意がある。,C,,123,「緊急の場合、家族の同意が不可欠である」は誤りで、緊急の場合は家族の同意が得られなくても治療を行うことができる（緊急避難）。「治療が目的となる」は正しい。「医療水準を満たしている」は正しい。「診療内容に患者の同意がある」も正しい。,,「緊急の場合、家族の同意が不可欠である」は誤りで、緊急の場合は家族の同意が得られなくても治療を行うことができる（緊急避難）。「治療が目的となる」は正しい。「医療水準を満たしている」は正しい。「診療内容に患者の同意がある」も正しい。,1.0000000
5F 医療法,誤っている組合せはどれか。,地域医療支援病院―――――――――救急医療,特定機能病院―――――――――――高度医療,療養病床―――――――――――――長期入院,助産所――――――――――――――異常出産,D,,123,「助産所 --- 異常出産」の組合せは誤りで、助産所は正常分娩を扱う施設であり、異常出産は医療機関で対応する。「地域医療支援病院 --- 救急医療」は正しい。「特定機能病院 --- 高度医療」は正しい。「療養病床 --- 長期入院」は正しい。,,「助産所 --- 異常出産」の組合せは誤りで、助産所は正常分娩を扱う施設であり、異常出産は医療機関で対応する。「地域医療支援病院 --- 救急医療」は正しい。「特定機能病院 --- 高度医療」は正しい。「療養病床 --- 長期入院」は正しい。,1.0000000
5F 医療法,医療法で定められている事柄について誤っているのはどれか。,医療は、国民自らの健康の保持のための努力を基礎とする。,都道府県は、医療を提供する体制の確保に関する計画を定める。,適切な説明は、医療の担い手のうち医師が行わなければならない。,医療の担い手は、良質かつ適切な医療を行うよう努めなければならない。,C,,123,「適切な説明は、医療の担い手のうち医師が行わなければならない」は誤りで、適切な説明は医師に限らずすべての医療の担い手が行うべきものである。「医療は、国民自らの健康の保持のための努力を基礎とする」は正しい。「都道府県は、医療を提供する体制の確保に関する計画を定める」は正しい。「医療の担い手は、良質かつ適切な医療を行うよう努めなければならない」も正しい。,,「適切な説明は、医療の担い手のうち医師が行わなければならない」は誤りで、適切な説明は医師に限らずすべての医療の担い手が行うべきものである。「医療は、国民自らの健康の保持のための努力を基礎とする」は正しい。「都道府県は、医療を提供する体制の確保に関する計画を定める」は正しい。「医療の担い手は、良質かつ適切な医療を行うよう努めなければならない」も正しい。,1.0000000
5F 医療法,医療提供機関の定義で入院患者の収容人数について正しい組合せはどれか。,診療所――――――――10人以上,病院――――――――20人以上,特定機能病院―――――200人以上,地域医療支援病院―――300人以上,B,,123,「病院 --- 20人以上」が正しい（医療法第1条の5）。「診療所 --- 10人以上」は誤りで、診療所は19人以下である。「特定機能病院 --- 200人以上」は誤りで、特定機能病院は400床以上が必要である。「地域医療支援病院 --- 300人以上」は誤りで、地域医療支援病院は200床以上が必要である。,,「病院 --- 20人以上」が正しい（医療法第1条の5）。「診療所 --- 10人以上」は誤りで、診療所は19人以下である。「特定機能病院 --- 200人以上」は誤りで、特定機能病院は400床以上が必要である。「地域医療支援病院 --- 300人以上」は誤りで、地域医療支援病院は200床以上が必要である。,1.0000000
5F 医療法,正しいのはどれか。,特定機能病院は都道府県知事の承認が必要である。,診療所は患者を入院させることができない。,地域医療支援病院は救急医療を提供する能力を有する。,介護老人保健施設は健康保険法の規定による施設である。,C,,123,「地域医療支援病院は救急医療を提供する能力を有する」が正しい。「特定機能病院は都道府県知事の承認が必要である」は誤りで、特定機能病院は厚生労働大臣の承認が必要である。「診療所は患者を入院させることができない」は誤りで、診療所も19人以下の入院施設を持つことができる。「介護老人保健施設は健康保険法の規定による施設である」は誤りで、介護老人保健施設は介護保険法の施設である。,,「地域医療支援病院は救急医療を提供する能力を有する」が正しい。「特定機能病院は都道府県知事の承認が必要である」は誤りで、特定機能病院は厚生労働大臣の承認が必要である。「診療所は患者を入院させることができない」は誤りで、診療所も19人以下の入院施設を持つことができる。「介護老人保健施設は健康保険法の規定による施設である」は誤りで、介護老人保健施設は介護保険法の施設である。,1.0000000
5A 医師法,医師法で正しいのはどれか。,正当な理由があっても医師は診察を拒むことができない。,守秘義務は医師法で規定されている。,業務停止ができるのは厚生労働大臣である。,軽度の治療の場合は診療録は不要である。,C,,123,「業務停止ができるのは厚生労働大臣である」が正しい。「正当な理由があっても医師は診察を拒むことができない」は誤りで、医師は正当な理由があれば診察を拒むことができる（応招義務の例外）。「守秘義務は医師法で規定されている」は誤りで、医師の守秘義務は刑法第134条に規定されている。「軽度の治療の場合は診療録は不要である」は誤りで、軽度であっても診療録は必要である。,,「業務停止ができるのは厚生労働大臣である」が正しい。「正当な理由があっても医師は診察を拒むことができない」は誤りで、医師は正当な理由があれば診察を拒むことができる（応招義務の例外）。「守秘義務は医師法で規定されている」は誤りで、医師の守秘義務は刑法第134条に規定されている。「軽度の治療の場合は診療録は不要である」は誤りで、軽度であっても診療録は必要である。,1.0000000
5B 保健師助産師看護師法,業務と資格との組合せで正しいのはどれか。,薬の処方------------薬剤師,筋肉注射------------理学療法士,エックス線検査------柔道整復師,新生児の保健指導----助産師,D,,123,「新生児の保健指導 --- 助産師」の組合せが正しい。「薬の処方 --- 薬剤師」は誤りで、薬の処方は医師の業務である。「筋肉注射 --- 理学療法士」は誤りで、筋肉注射は看護師等の業務である。「エックス線検査 --- 柔道整復師」は誤りで、エックス線検査は診療放射線技師の業務である。,,「新生児の保健指導 --- 助産師」の組合せが正しい。「薬の処方 --- 薬剤師」は誤りで、薬の処方は医師の業務である。「筋肉注射 --- 理学療法士」は誤りで、筋肉注射は看護師等の業務である。「エックス線検査 --- 柔道整復師」は誤りで、エックス線検査は診療放射線技師の業務である。,1.0000000
